,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
2059,fake-news,thegatewaypundit.com,https://thegatewaypundit.com,61,1400349,The Gateway Pundit,91,LOW,https://mediabiasfactcheck.com/the-gateway-pundit/,/,https://facebook.com/gatewaypundit,
2060,fake-news,freetelegraph.com,https://freetelegraph.com,31,1520,The Free Telegraph,23,MIXED,https://mediabiasfactcheck.com/the-free-telegraph/,/,https://facebook.com/freetelegraph,https://twitter.com/freetelegraph
2061,satire,halfwaypost.com,https://halfwaypost.com,26,3723,The Halfway Post,19,SATIRE,https://mediabiasfactcheck.com/the-halfway-post/,/,https://facebook.com/thehalfwaypost,
2062,right-center,thegazette.com,https://thegazette.com,58,1941796,The Gazette (Cedar Rapids),92,HIGH,https://mediabiasfactcheck.com/the-gazette-cedar-rapids/,/,https://facebook.com/iowaprepsports,
2063,left-center,thehilltalk.com,https://thehilltalk.com,30,464,The Hill Talk,26,HIGH,https://mediabiasfactcheck.com/the-hill-talk/,/,,
2064,fake-news,thehornnews.com,https://thehornnews.com,43,28518,The Horn,38,LOW,https://mediabiasfactcheck.com/the-horn-news/,/,https://facebook.com/thehornnews,https://twitter.com/readthehornnews
2065,conspiracy,theheartysoul.com,https://theheartysoul.com,50,7619,The Hearty Soul,30,MIXED,https://mediabiasfactcheck.com/the-hearty-soul/,/,https://facebook.com/theheartysoul,
2066,satire,thehardtimes.net,https://thehardtimes.net,52,43261,The Hard Times,47,SATIRE,https://mediabiasfactcheck.com/the-hard-times/,/,https://facebook.com/thehardtimesnews,
2067,left-center,theguardian.com,https://theguardian.com,79,8715772,The Guardian,99,HIGH,https://mediabiasfactcheck.com/the-guardian/,/,https://facebook.com/theguardian,https://twitter.com/guardian
2068,left-center,newsite.thehindu.com,https://newsite.thehindu.com,45,6,The Hindu,13,HIGH,https://mediabiasfactcheck.com/the-hindu/,/,https://facebook.com/thehindu,https://twitter.com/the_hindu
2069,right-center,theglobeandmail.com,https://theglobeandmail.com,73,4000692,The Globe and Mail (Toronto),90,HIGH,https://mediabiasfactcheck.com/the-globe-and-mail/,/,https://facebook.com/theglobeandmail,https://twitter.com/globeandmail
2070,right-center,thehill.com,https://thehill.com,69,2663933,The Hill,94,MOSTLY FACTUAL,https://mediabiasfactcheck.com/the-hill/,/,https://facebook.com/thehill,https://twitter.com/thehill
2071,left,thefrisky.com,https://thefrisky.com,60,156082,The Frisky,63,HIGH,https://mediabiasfactcheck.com/the-frisky/,/,,
2072,center,heraldsun.com,https://heraldsun.com,56,73243,"The Herald-Sun (Durham, North Carolina)",57,HIGH,https://mediabiasfactcheck.com/the-herald-sun-durham-north-carolina/,/,https://facebook.com/theheraldsun,
2073,right,thehayride.com,https://thehayride.com,47,146618,The Hayride,65,MIXED,https://mediabiasfactcheck.com/the-hayride/,/,https://facebook.com/thehayride,https://twitter.com/thehayride
2074,fake-news,thegoldwater.com,https://thegoldwater.com,36,16721,The Goldwater,33,LOW,https://mediabiasfactcheck.com/the-goldwater/,/,,
2075,left,thefingnews.com,https://thefingnews.com,25,725,The Fucking News,20,HIGH,https://mediabiasfactcheck.com/the-fucking-news/,/,https://facebook.com/thefingnews,https://twitter.com/thefingnews
2076,right-center,jpost.com,https://jpost.com,70,3400640,Jerusalem Post,95,HIGH,https://mediabiasfactcheck.com/the-jerusalem-post/,/,https://facebook.com/thejerusalempost,https://twitter.com/jerusalem_post
2077,left-center,theintercept.com,https://theintercept.com,65,1059871,The Intercept,89,HIGH,https://mediabiasfactcheck.com/the-intercept/,/,https://facebook.com/theinterceptflm,https://twitter.com/theintercept
2078,center,indianexpress.com,https://indianexpress.com,67,3386775,The Indian Express,92,HIGH,https://mediabiasfactcheck.com/the-indian-express/,/,https://facebook.com/indianexpress,https://twitter.com/the indian express
2079,left,theintellectualist.co,https://theintellectualist.co,34,1042,The Intellectualist,30,HIGH,https://mediabiasfactcheck.com/the-intellectualist/,/,,
2080,left-center,irrawaddy.com,https://irrawaddy.com,48,253026,The Irrawaddy,70,HIGH,https://mediabiasfactcheck.com/the-irrawaddy/,/,https://facebook.com/theirrawaddy,
2081,right-center,the-japan-news.com,https://the-japan-news.com,56,955103,The Japan News,88,HIGH,https://mediabiasfactcheck.com/the-japan-news/,/,https://facebook.com/thejapannews,https://twitter.com/the_japan_news
2082,left,theimproper.com,https://theimproper.com,53,63367,The Improper Magazine,41,HIGH,https://mediabiasfactcheck.com/theimproper-magazine/,/,https://facebook.com/impropermagazine,https://twitter.com/theimpropermag
2083,right-center,thejacknews.com,https://thejacknews.com,27,66,The Jack News,21,HIGH,https://mediabiasfactcheck.com/the-jack-news/,/,https://facebook.com/ouramericainitiative,
2084,center,jordantimes.com,https://jordantimes.com,58,682919,The Jordan Times,85,HIGH,https://mediabiasfactcheck.com/the-jordan-times/,/,https://facebook.com/thejordantimes,https://twitter.com/jordantimes
2085,right-center,jewishpress.com,https://jewishpress.com,57,243685,The Jewish Press,64,HIGH,https://mediabiasfactcheck.com/the-jewish-press/,/,https://facebook.com/jewishpress,https://twitter.com/jewishpress
2086,left-center,independent.co.uk,https://independent.co.uk,78,8236344,The Independent,98,HIGH,https://mediabiasfactcheck.com/the-independent/,/,https://facebook.com/theindependentonline,
2087,right-center,independent.org,https://independent.org,59,296661,The Independent Review,74,HIGH,https://mediabiasfactcheck.com/the-independent-review/,/,https://facebook.com/independentinstitute,https://twitter.com/independentinst
2088,center,thejakartapost.com,https://thejakartapost.com,65,2227115,The Jakarta Post,93,HIGH,https://mediabiasfactcheck.com/the-jakarta-post/,/,https://facebook.com/jakpost,https://twitter.com/jakpost
2089,left,indypendent.org,https://indypendent.org,47,96607,The Indypendent,60,HIGH,https://mediabiasfactcheck.com/the-indypendent/,/,https://facebook.com/theindypendent,https://twitter.com/theindypendent
2090,left-center,irishtimes.com,https://irishtimes.com,68,2094396,The Irish Times,81,HIGH,https://mediabiasfactcheck.com/the-irish-times/,/,https://facebook.com/irishtimes,https://twitter.com/irishtimes
2091,center,thehumanist.com,https://thehumanist.com,46,58183,The Humanist Magazine,58,HIGH,https://mediabiasfactcheck.com/the-humanist-magazine/,/,https://facebook.com/americanhumanist,
2092,conspiracy,thelastgreatstand.com,https://thelastgreatstand.com,42,85073,The Last Great Stand,51,LOW,https://mediabiasfactcheck.com/the-last-great-stand/,/,,
2093,center,journalstandard.com,https://journalstandard.com,52,812638,The Journal Standard,59,HIGH,https://mediabiasfactcheck.com/journal-standard/,/,https://facebook.com/journalstandard,https://twitter.com/journalstandard
2094,left-center,thelocal.no,https://thelocal.no,55,875266,The Local (Norway),84,HIGH,https://mediabiasfactcheck.com/the-local-norway/,/,https://facebook.com/thelocalnorway,https://twitter.com/thelocalnorway
2095,fake-news,thelibertyeagle.com,https://thelibertyeagle.com,33,119,The Liberty Eagle,19,MIXED,https://mediabiasfactcheck.com/the-liberty-eagle/,/,https://facebook.com/thelibertyeagle,https://twitter.com/thelibertyeagle
2096,left-center,lohud.com,https://lohud.com,60,1065382,The Journal News,59,HIGH,https://mediabiasfactcheck.com/the-journal-news/,/,https://facebook.com/lohud,https://twitter.com/lohud
2097,center,memepoliceman.com,https://memepoliceman.com,30,2245,The Meme Policeman,32,HIGH,https://mediabiasfactcheck.com/the-meme-policeman/,/,https://facebook.com/memepoliceman,
2098,center,theknifemedia.com,https://theknifemedia.com,33,437,The Knife,20,HIGH,https://mediabiasfactcheck.com/the-knife/,/,,
2099,fake-news,lastresistance.com,https://lastresistance.com,42,8811,The Last Resistance,37,LOW,https://mediabiasfactcheck.com/the-last-resistance/,/,https://facebook.com/last,
2100,left,themarysue.com,https://themarysue.com,61,368701,The Mary Sue,77,MIXED,https://mediabiasfactcheck.com/the-mary-sue/,/,https://facebook.com/themarysue,https://twitter.com/themarysue
2101,satire,thelapine.ca,https://thelapine.ca,38,4228,The Lapine,33,SATIRE,https://mediabiasfactcheck.com/the-lapine/,/,https://facebook.com/none,https://twitter.com/thelapine
2102,conspiracy,thelibertybeacon.com,https://thelibertybeacon.com,47,132982,The Liberty Beacon,58,LOW,https://mediabiasfactcheck.com/the-liberty-beacon/,/,https://facebook.com/thelibertybeaconproject,https://twitter.com/thetlbproject
2103,center,themarshallproject.org,https://themarshallproject.org,55,88741,The Marshall Project,61,HIGH,https://mediabiasfactcheck.com/the-marshall-project/,/,,
2104,left,thelondoneconomic.com,https://thelondoneconomic.com,46,29239,The London Economic,33,MOSTLY FACTUAL,https://mediabiasfactcheck.com/the-london-economic/,/,https://facebook.com/thelondoneconomic,https://twitter.com/londoneconomic
2105,left,themilitant.com,https://themilitant.com,51,41100,The Militant,54,HIGH,https://mediabiasfactcheck.com/the-militant/,/,,
2106,right-center,theledger.com,https://theledger.com,60,223563,The Ledger,54,HIGH,https://mediabiasfactcheck.com/the-ledger/,/,https://facebook.com/theledger,https://twitter.com/theledger
2107,right,theconservativetreehouse.com,https://theconservativetreehouse.com,55,633408,The Last Refuge,85,MIXED,https://mediabiasfactcheck.com/the-last-refuge/,/,,https://twitter.com/thelastrefuge2
2108,left,thelily.com,https://thelily.com,43,6206,The Lily,30,HIGH,https://mediabiasfactcheck.com/the-lily/,/,https://facebook.com/thelilynews,https://twitter.com/thelilynews
2109,center,soas.ac.uk,https://soas.ac.uk,62,913941,The Middle East in London,81,HIGH,https://mediabiasfactcheck.com/the-middle-east-in-london/,/,https://facebook.com/soasunioflondon,https://twitter.com/soas
2110,left-center,koreatimes.co.kr,https://koreatimes.co.kr,62,3590912,The Korea Times,96,MIXED,https://mediabiasfactcheck.com/the-korea-times/,/,,
2111,right-center,thelibertarianrepublic.com,https://thelibertarianrepublic.com,51,61834,The Libertarian Republic,49,HIGH,https://mediabiasfactcheck.com/the-libertarian-republic/,/,https://facebook.com/libertarianrepublic,https://twitter.com/thelibrepublic
2112,conspiracy,themindunleashed.org,https://themindunleashed.org,52,62541,The Mind Unleashed,59,LOW,https://mediabiasfactcheck.com/the-mind-unleashed/,/,https://facebook.com/themindunleashed,https://twitter.com/unleashmind
2113,center,mcall.com,https://mcall.com,63,971414,The Morning Call,85,HIGH,https://mediabiasfactcheck.com/the-morning-call/,/,https://facebook.com/mcall.lv,https://twitter.com/mcall
2114,fake-news,thenationalpatriot.com,https://thenationalpatriot.com,47,36543,The National Patriot,52,LOW,https://mediabiasfactcheck.com/the-national-patriot/,/,https://facebook.com/dci1776,
2115,left-center,themonthly.com.au,https://themonthly.com.au,54,80801,The Monthly (Australia),60,HIGH,https://mediabiasfactcheck.com/the-monthly-australia/,/,https://facebook.com/themonthly,https://twitter.com/themonthly
2116,right,thenewamerican.com,https://thenewamerican.com,60,634745,The New American,84,MIXED,https://mediabiasfactcheck.com/the-new-american/,/,https://facebook.com/thenewamerican,https://twitter.com/newamericanmag
2117,left-center,alaraby.co.uk,https://alaraby.co.uk,52,559317,The New Arab,49,HIGH,https://mediabiasfactcheck.com/the-new-arab/,/,https://facebook.com/alaraby.en,https://twitter.com/alaraby_ar
2118,right-center,thenational.ae,https://thenational.ae,65,577766,The National (UAE),75,HIGH,https://mediabiasfactcheck.com/the-national-uae/,/,https://facebook.com/thenational.ae,https://twitter.com/thenationaluae
2119,center,modbee.com,https://modbee.com,59,1449895,The Modesto Bee,68,HIGH,https://mediabiasfactcheck.com/the-modesto-bee/,/,https://facebook.com/modestobee,
2120,left,morningstaronline.co.uk,https://morningstaronline.co.uk,56,180558,The Morning Star,71,MOSTLY FACTUAL,https://mediabiasfactcheck.com/the-morning-star/,/,,https://twitter.com/m_star_online
2121,right-center,thenewatlantis.com,https://thenewatlantis.com,56,216830,The New Atlantis,73,HIGH,https://mediabiasfactcheck.com/the-new-atlantis/,/,https://facebook.com/tnajournal,https://twitter.com/tnajournal
2122,left-center,nationinstitute.org,https://nationinstitute.org,48,46724,The Nation Institute,55,HIGH,https://mediabiasfactcheck.com/the-nation-institute/,/,https://facebook.com/typemediacenter,
2123,fake-news,thenationalpulse.com,https://thenationalpulse.com,31,80,The National Pulse,19,LOW,https://mediabiasfactcheck.com/the-national-pulse/,/,https://facebook.com/thenationalpulse,
2124,right-center,nation.com.pk,https://nation.com.pk,56,2680449,The Nation Pakistan,93,HIGH,https://mediabiasfactcheck.com/the-nation-pakistan/,/,https://facebook.com/thenationdaily,https://twitter.com/the_nation
2125,fake-news,themillenniumreport.com,https://themillenniumreport.com,48,36142,The Millennium Report,40,LOW,https://mediabiasfactcheck.com/the-millennium-report/,/,,
2126,left,thenewcivilrightsmovement.com,https://thenewcivilrightsmovement.com,54,517107,The New Civil Rights Movement,67,MIXED,https://mediabiasfactcheck.com/the-new-civil-rights-movement/,/,,
2127,left-center,themoderatevoice.com,https://themoderatevoice.com,54,1213776,The Moderate Voice,90,HIGH,https://mediabiasfactcheck.com/the-moderate-voice/,/,,
2128,right,themilreview.com,https://themilreview.com,16,5,The Millennial Review,11,HIGH,https://mediabiasfactcheck.com/the-millennial-review/,/,,
2129,center,themoderatedmedia.com,https://themoderatedmedia.com,24,53,The Moderated Media,19,MIXED,https://mediabiasfactcheck.com/the-moderated-media/,/,https://facebook.com/themoderatedmedia,
2130,center,thenevadaindependent.com,https://thenevadaindependent.com,47,12324,The Nevada Independent,37,HIGH,https://mediabiasfactcheck.com/the-nevada-independent/,/,https://facebook.com/thenevadaindependent,https://twitter.com/thenvindy
2131,left,nationalmemo.com,https://nationalmemo.com,53,100165,The National Memo,60,HIGH,https://mediabiasfactcheck.com/the-national-memo/,/,https://facebook.com/nationalmemo,
2132,left-center,theodysseyonline.com,https://theodysseyonline.com,58,894494,The Odyssey Online,39,MIXED,https://mediabiasfactcheck.com/the-odyssey-online/,/,https://facebook.com/odyssey,https://twitter.com/twitter
2133,center,thenewsliteracyproject.org,https://thenewsliteracyproject.org,51,6844,The News Literacy Project,38,HIGH,https://mediabiasfactcheck.com/news-literacy-project/,/,https://facebook.com/thenewsliteracyproject,
2134,left-center,theolympian.com,https://theolympian.com,58,1283712,The Olympian,71,HIGH,https://mediabiasfactcheck.com/the-olympian/,/,https://facebook.com/theolympian,
2135,right,theohiostar.com,https://theohiostar.com,31,21068,The Ohio Star,25,MIXED,https://mediabiasfactcheck.com/the-ohio-star/,/,https://facebook.com/theohiostar,https://twitter.com/theohiostar
2136,left-center,thenextweb.com,https://thenextweb.com,70,1685446,The Next Web (TNW),91,HIGH,https://mediabiasfactcheck.com/the-next-web/,/,https://facebook.com/thenextweb,https://twitter.com/thenextweb
2137,left-center,thenewstribune.com,https://thenewstribune.com,61,595927,The News Tribune,70,HIGH,https://mediabiasfactcheck.com/the-news-tribune/,/,https://facebook.com/tacomanewstribune,
2138,fake-news,mynewsguru.com,https://mynewsguru.com,23,176,The News Guru,25,LOW,https://mediabiasfactcheck.com/the-news-guru/,/,https://facebook.com/groups/conservativepressclub,
2139,center,thenews.com.pk,https://thenews.com.pk,61,1251344,The News International,87,HIGH,https://mediabiasfactcheck.com/the-news-international/,/,https://facebook.com/thenewsinternational,https://twitter.com/thenews_intl
2140,right,newlypress.com,https://newlypress.com,22,492,The Newly Press,14,MIXED,https://mediabiasfactcheck.com/the-newly-press/,/,,
2141,center,thenews.mx,https://thenews.mx,36,640733,The News (Mexico City),84,HIGH,https://mediabiasfactcheck.com/the-news-mexico-city/,/,https://facebook.com/thenewsmexico,https://twitter.com/thenewsmexico
2142,satire,thenewsnerd.com,https://thenewsnerd.com,37,511,The News Nerd,27,SATIRE,https://mediabiasfactcheck.com/the-news-nerd/,/,https://facebook.com/thenewsnerd,
2143,right-center,oklahoman.com,https://oklahoman.com,50,21135,The Oklahoman,45,HIGH,https://mediabiasfactcheck.com/the-oklahoman/,/,https://facebook.com/theoklahoman,
2144,left-center,thenewtropic.com,https://thenewtropic.com,41,813,The New Tropic,28,HIGH,https://mediabiasfactcheck.com/the-new-tropic/,/,https://facebook.com/newtropicmiami,
2145,center,observatory.journalism.wisc.edu,https://observatory.journalism.wisc.edu,50,825,The Observatory,29,HIGH,https://mediabiasfactcheck.com/the-observatory/,/,,https://twitter.com/observingwi
2146,right-center,theobjectivestandard.com,https://theobjectivestandard.com,51,151947,The Objective Standard,69,HIGH,https://mediabiasfactcheck.com/the-objective-standard/,/,https://facebook.com/none,https://twitter.com/objectivestndrd
2147,right-center,international.thenewslens.com,https://international.thenewslens.com,47,2010124,The News Lens,38,HIGH,https://mediabiasfactcheck.com/the-news-lens/,/,https://facebook.com/tnl4international,https://twitter.com/thenewslensintl
2148,left-center,newstimes.com,https://newstimes.com,58,1474647,The News-Times (Danbury),63,HIGH,https://mediabiasfactcheck.com/the-news-times-danbury/,/,https://facebook.com/newstimes,https://twitter.com/newstimes
2149,fake-news,thepoliticaltribune.com,https://thepoliticaltribune.com,21,17,The Political Tribune,18,LOW,https://mediabiasfactcheck.com/the-political-tribune/,/,,
2150,left,theoutline.com,https://theoutline.com,56,38303,The Outline,51,HIGH,https://mediabiasfactcheck.com/the-outline/,/,https://facebook.com/outline,https://twitter.com/outline
2151,left-center,pennlive.com,https://pennlive.com,63,1763226,The Patriot-News,64,HIGH,https://mediabiasfactcheck.com/the-patriot-news/,/,https://facebook.com/pennlive,https://twitter.com/pennlive
2152,right,thepostemail.com,https://thepostemail.com,50,198989,The Post & Email,67,MIXED,https://mediabiasfactcheck.com/the-post-email/,/,,https://twitter.com/thepostemail
2153,satire,politicalgarbagechute.com,https://politicalgarbagechute.com,36,30731,The Politcal Garbage Chute,46,SATIRE,https://mediabiasfactcheck.com/the-political-garbage-chute/,/,https://facebook.com/politicalgarbagechute,
2154,center,postandcourier.com,https://postandcourier.com,61,133565,The Post and Courier,66,HIGH,https://mediabiasfactcheck.com/the-post-and-courier/,/,https://facebook.com/thepostandcourier,https://twitter.com/postandcourier
2155,center,pantagraph.com,https://pantagraph.com,58,47086,The Pantagraph,53,HIGH,https://mediabiasfactcheck.com/the-pantagraph/,/,https://facebook.com/pantagraph,https://twitter.com/pantagraph
2156,fake-news,thepeoplestruth.com,https://thepeoplestruth.com,16,644,The Peoples Truth,11,LOW,https://mediabiasfactcheck.com/the-peoples-truth/,/,,
2157,center,outlook.monmouth.edu,https://outlook.monmouth.edu,48,30028,The Outlook (Monmouth University),43,HIGH,https://mediabiasfactcheck.com/the-outlook-monmouth-university/,/,https://facebook.com/theoutlook,https://twitter.com/muoutlook
2158,left-center,theoslotimes.com,https://theoslotimes.com,37,21516,The Oslo Times,35,HIGH,https://mediabiasfactcheck.com/the-oslo-times/,/,,
2159,left,palestinechronicle.com,https://palestinechronicle.com,57,266818,The Palestine Chronicle,75,HIGH,https://mediabiasfactcheck.com/the-palestine-chronicle/,/,https://facebook.com/palestinechronicle,https://twitter.com/palestinechron
2160,satire,outabouter.com,https://outabouter.com,31,2264,The Out and Abouter,32,SATIRE,https://mediabiasfactcheck.com/the-out-and-abouter/,/,https://facebook.com/outandabouter,https://twitter.com/outandabouter
2161,left-center,palmbeachpost.com,https://palmbeachpost.com,64,1185904,The Palm Beach Post,77,HIGH,https://mediabiasfactcheck.com/the-palm-beach-post/,/,https://facebook.com/palmbeachpost,
2162,fake-news,other98.com,https://other98.com,47,37847,The Other 98%,52,LOW,https://mediabiasfactcheck.com/the-other-98/,/,https://facebook.com/theother98,https://twitter.com/other98
2163,center,phnompenhpost.com,https://phnompenhpost.com,59,1661126,The Phnom Penh Post,91,HIGH,https://mediabiasfactcheck.com/the-phnom-penh-post/,/,https://facebook.com/phnompenhpost,https://twitter.com/phnompenhpost
2164,left-center,cleveland.com,https://cleveland.com,68,5674593,The Plain Dealer,90,HIGH,https://mediabiasfactcheck.com/the-plain-dealer/,/,https://facebook.com/none,https://twitter.com/clevelanddotcom
2165,satire,theonion.com,https://theonion.com,74,12255924,The Onion,99,SATIRE,https://mediabiasfactcheck.com/the-onion/,/,https://facebook.com/theonion,https://twitter.com/theonion
2166,satire,thepeoplescube.com,https://thepeoplescube.com,54,1096158,The People's Cube,88,SATIRE,https://mediabiasfactcheck.com/the-peoples-cube/,/,,
2167,right,patriotpost.us,https://patriotpost.us,55,544690,The Patriot Post,82,MIXED,https://mediabiasfactcheck.com/the-patriot-post/,/,https://facebook.com/patriotpost,https://twitter.com/patriotpost
2168,left-center,pressdemocrat.com,https://pressdemocrat.com,61,399189,The Press Democrat,75,HIGH,https://mediabiasfactcheck.com/the-press-democrat/,/,https://facebook.com/pressdemocrat,
2169,left,progressivefrontier.com,https://progressivefrontier.com,28,2462,The Progressive Frontier,15,MIXED,https://mediabiasfactcheck.com/the-progressive-frontier/,/,https://facebook.com/progressivefrontier,
2170,right,rebelnews.com,https://rebelnews.com,33,475,Rebel News,24,MIXED,https://mediabiasfactcheck.com/the-rebel/,/,https://facebook.com/jointherebel,
2171,right,therealstrategy.com,https://therealstrategy.com,35,2927,The Real Strategy,29,MIXED,https://mediabiasfactcheck.com/the-real-strategy/,/,,
2172,left,samefacts.com,https://samefacts.com,53,856981,The Reality-Based Community,88,HIGH,https://mediabiasfactcheck.com/reality-based-community/,/,,
2173,fake-news,thepremiumnews.com,https://thepremiumnews.com,16,20,The Premium News,17,LOW,https://mediabiasfactcheck.com/the-premium-news/,/,,
2174,satire,the-postillon.com,https://the-postillon.com,35,1518,The Postillion,31,SATIRE,https://mediabiasfactcheck.com/the-postillion/,/,https://facebook.com/derpostillon,https://twitter.com/der_postillon
2175,right,therantidote.com,https://therantidote.com,14,51,The RANTidote,15,MIXED,https://mediabiasfactcheck.com/the-rantidote/,/,https://facebook.com/therantidote,https://twitter.com/therantidote
2176,right-center,thequint.com,https://thequint.com,54,448206,The Quint,75,MIXED,https://mediabiasfactcheck.com/the-quint/,/,https://facebook.com/quintillion,https://twitter.com/thequint
2177,fake-news,proudcons.com,https://proudcons.com,30,31,The Proud Conservative,19,LOW,https://mediabiasfactcheck.com/the-proud-conservative/,/,,
2178,satire,theracketreport.com,https://theracketreport.com,33,227,The Racket Report,23,SATIRE,https://mediabiasfactcheck.com/the-racket-report/,/,http://fb.com/,
2179,left-center,northjersey.com,https://northjersey.com,63,246562,The Record (New Jersey),71,HIGH,https://mediabiasfactcheck.com/the-record-new-jersey/,/,https://facebook.com/northjerseycom,https://twitter.com/northjersey
2180,left-center,pulsegulfcoast.com,https://pulsegulfcoast.com,37,18261,The Pulse,40,HIGH,https://mediabiasfactcheck.com/the-pulse/,/,https://facebook.com/pulsegulfcoast,
2181,left,progressive.org,https://progressive.org,60,356080,The Progressive,80,HIGH,https://mediabiasfactcheck.com/the-progressive/,/,https://facebook.com/theprogressivemagazine,https://twitter.com/theprogressive
2182,right,thepostmillennial.com,https://thepostmillennial.com,43,11394,The Post Millennial,35,MOSTLY FACTUAL,https://mediabiasfactcheck.com/the-post-millennial/,/,https://facebook.com/none,https://twitter.com/tpostmillennial
2183,center,syracuse.com,https://syracuse.com,64,2529494,The Post-Standard (Syracuse),63,HIGH,https://mediabiasfactcheck.com/the-post-standard-syracuse/,/,https://facebook.com/syracusecom,https://twitter.com/syracusedotcom
2184,right-center,pe.com,https://pe.com,62,551914,The Press-Enterprise,76,HIGH,https://mediabiasfactcheck.com/the-press-enterprise/,/,https://facebook.com/thepressenterprise,https://twitter.com/pressenterprise
2185,fake-news,theproudliberal.org,https://theproudliberal.org,29,1473,The Proud Liberal,31,MIXED,https://mediabiasfactcheck.com/the-proud-liberal/,/,https://facebook.com/theproudliberalcommunity,
2186,center,poststar.com,https://poststar.com,53,28618,The Post Star,48,HIGH,https://mediabiasfactcheck.com/the-post-star/,/,https://facebook.com/thepoststar,https://twitter.com/poststar
2187,satire,thesciencepost.com,https://thesciencepost.com,40,286,The Science Post,24,SATIRE,https://mediabiasfactcheck.com/the-science-post/,/,https://facebook.com/thesciencepost,
2188,right,therightscoop.com,https://therightscoop.com,53,410063,The Right Scoop,80,HIGH,https://mediabiasfactcheck.com/the-right-scoop/,/,https://facebook.com/trscoop,https://twitter.com/trscoop
2189,right,theresurgent.com,https://theresurgent.com,48,141652,The Resurgent,66,MIXED,https://mediabiasfactcheck.com/the-resurgent/,/,https://facebook.com/theresurgent,https://twitter.com/resurgent
2190,left-center,theringer.com,https://theringer.com,59,106091,The Ringer,61,HIGH,https://mediabiasfactcheck.com/the-ringer/,/,https://facebook.com/ringer,https://twitter.com/ringer
2191,satire,theseattletribune.com,https://theseattletribune.com,29,1543,The Seattle Tribune,26,SATIRE,https://mediabiasfactcheck.com/the-seattle-tribune/,/,,
2192,fake-news,remnantnewspaper.com,https://remnantnewspaper.com,44,20372,The Remnant Newspaper,46,LOW,https://mediabiasfactcheck.com/the-remnant-magazine/,/,https://facebook.com/theremnantnewspaper,
2193,satire,thelastlineofdefense.org,https://thelastlineofdefense.org,37,213,The Resistance: The Last Line of Defense,25,SATIRE,https://mediabiasfactcheck.com/the-resistance-the-last-line-of-defense/,/,,
2194,center,scotsman.com,https://scotsman.com,67,790651,The Scotsman,77,HIGH,https://mediabiasfactcheck.com/the-scotsman/,/,https://facebook.com/thescotsmannewspaper,https://twitter.com/thescotsman
2195,right,ronpaulinstitute.org,https://ronpaulinstitute.org,51,31098,The Ron Paul Institute,48,MIXED,https://mediabiasfactcheck.com/the-ron-paul-institute/,/,https://facebook.com/ronpaulinstitute,
2196,left,theroot.com,https://theroot.com,63,10043862,The Root,99,HIGH,https://mediabiasfactcheck.com/the-root/,/,https://facebook.com/theroot,https://twitter.com/theroot
2197,left-center,thesaturdaypaper.com.au,https://thesaturdaypaper.com.au,49,336370,The Saturday Paper,79,HIGH,https://mediabiasfactcheck.com/the-saturday-paper/,/,https://facebook.com/thesaturdaypaper,https://twitter.com/satpaper
2198,pro-science,the-scientist.com,https://the-scientist.com,62,2814239,The Scientist,75,VERY HIGH,https://mediabiasfactcheck.com/the-scientist/,/,https://facebook.com/thescientistmagazine,https://twitter.com/thescientistllc
2199,conspiracy,therundownlive.com,https://therundownlive.com,40,14898,The Rundown Live,41,LOW,https://mediabiasfactcheck.com/the-rundown-live/,/,https://facebook.com/therundownlive,https://twitter.com/rundownlive
2200,fake-news,thereligionofpeace.com,https://thereligionofpeace.com,61,2217238,The Religion of Peace,94,LOW,https://mediabiasfactcheck.com/the-religion-of-peace/,/,,
2201,fake-news,therightists.com,https://therightists.com,36,282,The Rightists,21,LOW,https://mediabiasfactcheck.com/the-rightists/,/,,
2202,satire,theredshtick.com,https://theredshtick.com,37,11422,The Red Shtick,36,SATIRE,https://mediabiasfactcheck.com/the-red-shtick/,/,https://facebook.com/theredshtick,https://twitter.com/redshtick
2203,fake-news,therightstuff.biz,https://therightstuff.biz,46,52223,The Right Stuff,52,VERY LOW,https://mediabiasfactcheck.com/the-right-stuff/,/,,
2204,pro-science,skepdic.com,https://skepdic.com,60,160232,The Skeptics Dictionary,69,VERY HIGH,https://mediabiasfactcheck.com/the-skeptics-dictionary/,/,,
2205,satire,theshovel.com.au,https://theshovel.com.au,41,7923,The Shovel,35,SATIRE,https://mediabiasfactcheck.com/the-shovel/,/,https://facebook.com/theshovelau,https://twitter.com/theshovel
2206,conspiracy,stream.org,https://stream.org,51,122758,The Stream,63,MIXED,https://mediabiasfactcheck.com/the-stream/,/,https://facebook.com/thestream.org,https://twitter.com/streamdotorg
2207,right-center,thesorrentino.com,https://thesorrentino.com,12,6,The Sorrentino,0,HIGH,https://mediabiasfactcheck.com/the-sorrentino/,/,https://facebook.com/thesorrentino,
2208,left-center,thestate.com,https://thestate.com,63,1524020,The State,70,HIGH,https://mediabiasfactcheck.com/the-state/,/,https://facebook.com/thestatenews,
2209,right-center,straitstimes.com,https://straitstimes.com,67,3422780,The Straits Times,95,MOSTLY FACTUAL,https://mediabiasfactcheck.com/the-straits-times/,/,https://facebook.com/thestraitstimes,https://twitter.com/stcom
